"No.","Time","Source","Destination","Protocol","Length","Info"
"47","0.840168","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=12 Ack=1 Win=8442 Len=1"
"48","0.840200","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=13 Win=8252 Len=0"
"49","0.840408","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=13 Ack=1 Win=8442 Len=1"
"50","0.840417","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=14 Win=8251 Len=0"
"51","0.840455","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=13 Ack=1 Win=8442 Len=1"
"52","0.840463","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=14 Win=8252 Len=0"
"53","0.840626","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=14 Ack=1 Win=8442 Len=1"
"54","0.840635","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=15 Win=8252 Len=0"
"55","0.840714","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=14 Ack=1 Win=8442 Len=1"
"56","0.840723","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=15 Win=8251 Len=0"
"57","0.840934","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=15 Ack=1 Win=8442 Len=1"
"58","0.840944","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=16 Win=8252 Len=0"
"59","0.841093","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=15 Ack=1 Win=8442 Len=1"
"60","0.841106","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=16 Win=8251 Len=0"
"61","0.842144","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=16 Ack=1 Win=8442 Len=1"
"62","0.842159","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=17 Win=8252 Len=0"
"63","0.842243","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=16 Ack=1 Win=8442 Len=1"
"64","0.842252","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=17 Win=8251 Len=0"
"65","0.842451","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=17 Ack=1 Win=8442 Len=1"
"66","0.842461","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=18 Win=8252 Len=0"
"67","0.842534","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=17 Ack=1 Win=8442 Len=1"
"68","0.842541","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=18 Win=8251 Len=0"
"69","0.842707","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=18 Ack=1 Win=8442 Len=1"
"70","0.842715","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=19 Win=8252 Len=0"
"71","0.842769","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=18 Ack=1 Win=8442 Len=1"
"72","0.842776","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=19 Win=8251 Len=0"
"73","0.842915","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=19 Ack=1 Win=8442 Len=1"
"74","0.842923","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=20 Win=8252 Len=0"
"75","0.842997","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=19 Ack=1 Win=8442 Len=1"
"76","0.843004","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=20 Win=8251 Len=0"
"77","0.843162","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=20 Ack=1 Win=8442 Len=1"
"78","0.843171","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=21 Win=8252 Len=0"
"79","0.843224","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=20 Ack=1 Win=8442 Len=1"
"80","0.843231","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=21 Win=8251 Len=0"
"81","0.843410","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=21 Ack=1 Win=8442 Len=1"
"82","0.843418","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=22 Win=8252 Len=0"
"83","0.843470","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=21 Ack=1 Win=8442 Len=1"
"84","0.843477","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=22 Win=8251 Len=0"
"85","0.843615","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=22 Ack=1 Win=8442 Len=1"
"86","0.843623","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=23 Win=8252 Len=0"
"87","0.843700","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=22 Ack=1 Win=8442 Len=1"
"88","0.843707","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=23 Win=8251 Len=0"
"89","0.843842","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=23 Ack=1 Win=8442 Len=1"
"90","0.843850","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=24 Win=8252 Len=0"
"91","0.843925","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=23 Ack=1 Win=8442 Len=1"
"92","0.843932","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=24 Win=8251 Len=0"
"93","0.844067","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=24 Ack=1 Win=8442 Len=1"
"94","0.844075","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=25 Win=8252 Len=0"
"95","0.844148","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=24 Ack=1 Win=8442 Len=1"
"96","0.844155","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=25 Win=8251 Len=0"
"97","0.844308","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=25 Ack=1 Win=8442 Len=1"
"98","0.844317","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=26 Win=8252 Len=0"
"99","0.844372","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=25 Ack=1 Win=8442 Len=1"
"100","0.844379","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=26 Win=8251 Len=0"
"101","0.844575","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=26 Ack=1 Win=8442 Len=1"
"102","0.844584","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=27 Win=8252 Len=0"
"103","0.846697","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=26 Ack=1 Win=8442 Len=1"
"104","0.846720","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=27 Win=8251 Len=0"
"105","0.847392","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=27 Ack=1 Win=8442 Len=1"
"106","0.847408","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=28 Win=8252 Len=0"
"107","0.870077","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=27 Ack=1 Win=8442 Len=1"
"108","0.870104","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=28 Win=8251 Len=0"
"109","0.870464","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=28 Ack=1 Win=8442 Len=1"
"110","0.870513","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=29 Win=8252 Len=0"
"111","0.872095","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=28 Ack=1 Win=8442 Len=1"
"112","0.872118","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=29 Win=8251 Len=0"
"113","0.872754","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=29 Ack=1 Win=8442 Len=1"
"114","0.872771","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=30 Win=8252 Len=0"
"115","0.874216","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=29 Ack=1 Win=8442 Len=1"
"116","0.874234","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=30 Win=8251 Len=0"
"117","0.875669","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=30 Ack=1 Win=8442 Len=1"
"118","0.875692","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=31 Win=8251 Len=0"
"119","0.897336","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=30 Ack=1 Win=8442 Len=1"
"120","0.897376","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=31 Win=8252 Len=0"
"121","0.897392","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=31 Ack=1 Win=8442 Len=1"
