"No.","Time","Source","Destination","Protocol","Length","Info"
"47","0.005349","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=12 Ack=1 Win=8442 Len=1"
"48","0.005356","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=13 Win=8198 Len=0"
"49","0.005547","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=13 Ack=1 Win=8442 Len=1"
"50","0.005556","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=14 Win=8198 Len=0"
"51","0.005606","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=13 Ack=1 Win=8442 Len=1"
"52","0.005612","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=14 Win=8198 Len=0"
"53","0.005830","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=14 Ack=1 Win=8442 Len=1"
"54","0.005853","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=15 Win=8198 Len=0"
"55","0.005934","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=14 Ack=1 Win=8442 Len=1"
"56","0.005941","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=15 Win=8198 Len=0"
"57","0.006153","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=15 Ack=1 Win=8442 Len=1"
"58","0.006161","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=16 Win=8198 Len=0"
"59","0.006212","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=15 Ack=1 Win=8442 Len=1"
"60","0.006218","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=16 Win=8198 Len=0"
"61","0.006408","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=16 Ack=1 Win=8442 Len=1"
"62","0.006416","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=17 Win=8198 Len=0"
"63","0.006491","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=16 Ack=1 Win=8442 Len=1"
"64","0.006497","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=17 Win=8198 Len=0"
"65","0.006691","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=17 Ack=1 Win=8442 Len=1"
"66","0.006699","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=18 Win=8198 Len=0"
"67","0.006751","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=17 Ack=1 Win=8442 Len=1"
"68","0.006758","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=18 Win=8198 Len=0"
"69","0.006916","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=18 Ack=1 Win=8442 Len=1"
"70","0.006924","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=19 Win=8198 Len=0"
"71","0.006987","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=18 Ack=1 Win=8442 Len=1"
"72","0.006994","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=19 Win=8198 Len=0"
"73","0.007214","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=19 Ack=1 Win=8442 Len=1"
"74","0.007228","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=20 Win=8198 Len=0"
"75","0.007451","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=19 Ack=1 Win=8442 Len=1"
"76","0.007461","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=20 Win=8198 Len=0"
"77","0.007708","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=20 Ack=1 Win=8442 Len=1"
"78","0.007747","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=21 Win=8198 Len=0"
"79","0.009427","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=20 Ack=1 Win=8442 Len=1"
"80","0.009439","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=21 Win=8198 Len=0"
"81","0.009601","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=21 Ack=1 Win=8442 Len=1"
"82","0.009631","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=22 Win=8198 Len=0"
"83","0.026876","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=21 Ack=1 Win=8442 Len=1"
"84","0.026896","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=22 Win=8198 Len=0"
"85","0.349863","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=22 Ack=1 Win=8442 Len=1"
"86","0.349927","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=23 Win=8198 Len=0"
"87","0.350271","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=22 Ack=1 Win=8442 Len=1"
"88","0.350307","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=23 Win=8198 Len=0"
"89","0.350579","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=23 Ack=1 Win=8442 Len=1"
"90","0.350596","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=24 Win=8198 Len=0"
"91","0.350896","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=23 Ack=1 Win=8442 Len=1"
"92","0.350922","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=24 Win=8198 Len=0"
"93","0.351107","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=24 Ack=1 Win=8442 Len=1"
"94","0.351128","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=25 Win=8198 Len=0"
"95","0.351454","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=24 Ack=1 Win=8442 Len=1"
"96","0.351477","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=25 Win=8198 Len=0"
"97","0.351852","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=25 Ack=1 Win=8442 Len=1"
"98","0.351891","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=26 Win=8198 Len=0"
"99","0.352368","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=25 Ack=1 Win=8442 Len=1"
"100","0.352400","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=26 Win=8198 Len=0"
"101","0.353423","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=26 Ack=1 Win=8442 Len=1"
"102","0.353464","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=27 Win=8198 Len=0"
"103","0.354493","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=26 Ack=1 Win=8442 Len=1"
"104","0.354533","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=27 Win=8198 Len=0"
"105","0.354983","127.0.0.1","127.0.0.1","TCP","45","49722  >  49721 [PSH, ACK] Seq=27 Ack=1 Win=8442 Len=1"
"106","0.355017","127.0.0.1","127.0.0.1","TCP","44","49721  >  49722 [ACK] Seq=1 Ack=28 Win=8198 Len=0"
"107","0.355647","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=27 Ack=1 Win=8442 Len=1"
"108","0.355690","127.0.0.1","127.0.0.1","TCP","44","49712  >  49711 [ACK] Seq=1 Ack=28 Win=8198 Len=0"
"109","1.353142","127.0.0.1","127.0.0.1","TCP","45","49711  >  49712 [PSH, ACK] Seq=28 Ack=1 Win=8442 Len=1"
